Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Details
CACNG2,ENSG00000166862,0.116792600608759,0.0684505690887895,0.129651800306898,0.00973457360876075,
C12orf73,ENSG00000204954,0.116874269270147,0.100034752662078,0.160693213014194,0.00403650188811434,
PRNP,ENSG00000171867,0.116904266780356,0.452206502921366,0.0783676406503226,-0.00237715349435025,
RAB9B,ENSG00000123570,0.116972116779001,0.349300822364329,0.06390487569977,0.0111279949567983,
ZPBP2,ENSG00000186075,0.11709946410204,0.101781535675513,0.0760028831034816,0.00325254454166948,
NOP2,ENSG00000111641,0.117184174967538,0.0711227605027664,0.137747205177489,-0.00236472796699455,
HTRA4,ENSG00000169495,0.117215885199785,0.492524943020358,0.0660465976335358,-0.00200568969063828,
P2RY6,ENSG00000171631,0.117246727989763,0.705834816441209,0.0641510887413131,0.00113660840567701,
ETFBKMT,ENSG00000139160,0.117331706345726,0.379870655666361,0.070770544034752,-0.00181533690103893,
RTKN2,ENSG00000182010,0.117406110134669,0.0683336949010704,0.146205971488876,0.00483228300685803,
C16orf95,ENSG00000260456,0.117414619071075,0.0650994661155763,0.720419000810784,-0.00822037250404546,
POLA2,ENSG00000014138,0.117425900512958,0.0650929529908694,0.431041414602715,0.00624180737075365,
RNF135,ENSG00000181481,0.117530645217765,0.0691584045006088,0.31997435617237,-0.00206554753267979,
PCDHGA7,ENSG00000253537,0.117539102617045,0.0644856737166519,0.94942944584672,0.00240948889017574,
SFTPA1,ENSG00000122852,0.117559026676346,0.120450376857984,0.0714035565569855,0.00252016414154742,
DCAF6,ENSG00000143164,0.117624866528308,0.0667674471013604,0.224085715476039,0.00352237109775054,
KISS1,ENSG00000170498,0.117716732375882,0.808893414194945,0.0728634096224945,0.000528359093142431,
APPL2,ENSG00000136044,0.117746760734982,0.0649575493431165,0.855653631522528,0.00339711695352375,
POLR3K,ENSG00000161980,0.117800890582814,0.0654639203607539,0.2275051281967,-0.018764155573923,
EFNA2,ENSG00000099617,0.117821705614318,0.063739488681723,0.362704657696331,-0.0110516765824242,
NSL1,ENSG00000117697,0.117905959313372,0.430444267975436,0.0693370716788562,0.00211103313164493,
SLC25A3,ENSG00000075415,0.117941169572467,0.086822666732271,0.104178092414152,0.0105972531567527,
GUCA2A,ENSG00000197273,0.117982565194581,0.221720793749829,0.0783753161104501,0.0047981295990485,
WHRN,ENSG00000095397,0.118084064595005,0.367723202721087,0.0658636883301245,0.00118995063037643,
LGR4,ENSG00000205213,0.118181509686087,0.0926872683665706,0.0846718261216326,-0.00227893301398129,
SLC7A5,ENSG00000103257,0.118242096054824,0.0674963159747128,0.397623415332571,0.00470427053713239,
KIFC1,ENSG00000237649,0.118328391840942,0.0655722492213624,0.32613620474976,-0.00224858592795103,
LRRC28,ENSG00000168904,0.118339683941714,0.0673484055703869,0.327988911582822,0.0070372278143666,
ZNF331,ENSG00000130844,0.118404297918316,0.113887062994345,0.0731537836611362,-0.00312515611498851,
SYN3,ENSG00000185666,0.118468714152092,0.118165023962922,0.0725912712414893,0.00283127188269116,
PGLYRP4,ENSG00000163218,0.11855763145819,0.0743965954933623,0.290960222979088,-0.00245116673030691,
NENF,ENSG00000117691,0.118560291329642,0.218196063611498,0.0645459722321003,-0.00710329833968006,
BBOX1,ENSG00000129151,0.118596578672881,0.0732271323408158,0.90304311769008,-0.00388137497627489,
POGK,ENSG00000143157,0.118602878200245,0.587499947383227,0.066500283287547,-0.00110199482746202,
PUDP,ENSG00000130021,0.118627448727874,0.158074001131419,0.0694333299190013,0.00457435490758105,
WDR27,ENSG00000184465,0.118721501039572,0.96327772272249,0.0669330444805036,-0.000033433842106305,
TROAP,ENSG00000135451,0.118752232136713,0.131635360176687,0.0700246361913394,-0.00242211132545805,
GTF2H3,ENSG00000111358,0.118838485722364,0.143700202773462,0.0716423383823181,-0.00531981679948175,
GPC4,ENSG00000076716,0.118874824014147,0.0708926005525251,0.145585543685696,0.00651456292879845,
PIGL,ENSG00000108474,0.118913861320689,0.0753437479843651,0.132873318567443,-0.00431839672287516,
CNBP,ENSG00000169714,0.119002740114882,0.33763498048754,0.0794671059201517,-0.00591881777078808,
SIPA1L2,ENSG00000116991,0.119028665036913,0.294646154385713,0.0645438793309248,-0.00103132341520497,
SERPINA11,ENSG00000186910,0.119216793547803,0.550932986024739,0.0698837076639844,0.00161861003522151,
